Index	Rewards	 Distance
1727      -1        2
1728      -1        4
1729      -1        2
1730      14        2
1731      -1        2
1732      -1        4
1733      -1        4
1734      -1        2
1735      -1        4
1736      -1        4
1737      -1        4
1738      -1        4
1739      -1        2
1740      -1        2
1741      -1        2
1742      -1        2
1743      -1        2
1744      -1        2
1745      -1        2
1746      -1        4
1747      -2        2
1748      -1        2
1749      -1        2
1750      -1        2
1751      -1        2
1752      -1        2
1753      -1        2
1754      -1        2
1755      -1        2
1756      -1        2
1757      -1        4
1758      -1        2
1759      -1        2
1760      -1        2
1761      -1        4
1762      -1        2
1763      -1        2
1764      -1        4
1765      -1        4
1766      -1        4
1767      -2        4
1768      -1        3
1769      -1        3
1770      -1        1
1771      -1        3
1772      -1        3
1773      -1        1
1774      -1        3
1775      -1        3
1776      -1        3
1777      -1        3
1778      -1        3
1779      -1        5
1780      -1        4
1781      -1        4
1782      -1        2
1783      -1        2
1784      -1        4
1785      -1        3
1786      -1        3
1787      -1        3
1788      -1        1
1789      -1        3
1790      -1        3
1791      -1        1
1792      -1        3
1793      -1        1
1794      -1        1
1795      -1        1
1796      -1        3
1797      -1        3
1798      -1        1
1799      -2        1
1800      -1        3
1801      -1        1
1802      -1        3
1803      -1        3
1804      -1        1
1805      14        1
1806      -1        1
1807      -1        2
1808      -1        2
1809      -1        2
1810      -1        2
1811      -1        2
1812      -1        2
1813      -1        2
1814      -1        4
1815      -1        4
1816      -1        4
1817      -1        4
1818      -1        4
1819      -1        4
1820      -1        4
1821      -1        3
1822      -1        3
1823      -1        3
1824      -1        1
1825      -1        1
1826      -1        3
1827      -1        3
1828      -1        3
1829      -2        3
1830      -1        3
1831      -1        4
1832      -1        2
1833      -1        2
1834      -1        4
1835      -1        2
1836      -1        2
1837      -1        4
1838      -1        4
1839      -1        2
1840      -1        4
1841      -1        3
1842      -1        4
1843      -1        4
1844      -1        4
1845      -1        2
1846      -1        2
1847      -1        2
1848      -1        1
1849      -1        3
1850      -1        3
1851      -1        4
1852      -2        4
1853      -1        4
1854      -1        2
1855      -1        4
1856      -1        4
1857      -1        3
1858      -1        1
1859      -1        3
1860      -1        1
1861      -1        3
1862      -1        1
1863      -1        1
1864      -1        2
1865      -1        4
1866      -1        2
1867      -1        2
1868      -1        2
1869      -1        2
1870      -1        4
1871      -1        2
1872      -1        2
